id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet
5528049,Palm Jumeirah,25.113208,55.138932,2700000,1079,2502.32,1,2,Medium,False,False,True,True,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
6008529,Palm Jumeirah,25.106809,55.151201,2850000,1582,1801.52,2,2,Medium,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
6034542,Jumeirah Lake Towers,25.063302,55.137728,1150000,1951,589.44,3,5,Medium,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,True,True
6326063,Culture Village,25.227295,55.341761,2850000,2020,1410.89,2,3,Low,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6356778,Palm Jumeirah,25.114275,55.139764,1729200,507,3410.65,0,1,Medium,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,True,False
6356784,Palm Jumeirah,25.114275,55.139764,3119900,1015,3073.79,1,2,Medium,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,True,False
6356790,Palm Jumeirah,25.114275,55.139764,8503600,2062,4123.96,2,3,High,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True
6356797,Palm Jumeirah,25.114275,55.139764,3119900,1015,3073.79,1,2,Medium,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,True,False
6376886,Palm Jumeirah,25.106668,55.149275,2100000,2186,960.66,3,3,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6406935,Downtown Dubai,25.194935,55.282665,2690000,1521,1768.57,2,3,Medium,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
6473651,Downtown Dubai,25.198795999999998,55.271342000000004,3550000,1918,1850.89,3,4,Low,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
6493425,Dubai Marina,25.075017000000003,55.137997,2094999,1058,1980.15,2,3,Low,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
6493433,Dubai Marina,25.075017000000003,55.137997,1049999,609,1724.14,1,2,Low,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
6493447,Palm Jumeirah,25.132519,55.151574,1849000,1071,1726.42,1,1,Medium,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
6505084,Palm Jumeirah,25.132445,55.152216,2089999,1051,1988.58,1,1,Medium,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
6526806,Palm Jumeirah,25.132020999999998,55.151405000000004,2349990,1109,2119.02,1,1,Medium,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
6526808,Palm Jumeirah,25.132020999999998,55.151405000000004,3499000,1633,2142.68,2,2,Medium,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
6530645,Downtown Dubai,25.198316000000002,55.270757999999994,2700000,1348,2002.97,2,3,Medium,False,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6562472,Downtown Dubai,25.197020000000002,55.271023,1490000,1167,1276.78,2,2,Medium,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
6587672,Business Bay,25.180301,55.263892000000006,950000,894,1062.64,1,2,Medium,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False
6666254,Dubai Marina,25.072395999999998,55.132386,1100000,985,1116.75,2,2,Medium,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True
6715521,Dubai Marina,25.079783,55.13904599999999,1390000,1307,1063.5,2,4,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6728311,Downtown Dubai,25.197316,55.274195999999996,3999900,2323,1721.87,3,4,Medium,True,True,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
6768809,Dubai Marina,25.08377,55.145075,3349000,3930,852.16,3,4,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6786263,Palm Jumeirah,25.132020999999998,55.151405000000004,8470000,5232,1618.88,3,3,Medium,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
6799796,Dubai Marina,25.084331,55.141679,2499000,2490,1003.61,3,4,Medium,False,True,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,True,True
6810606,Downtown Dubai,25.194282,55.271884,2800000,1712,1635.51,2,3,Medium,False,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
6814944,Dubai Marina,25.074958,55.138542,8500000,5079,1673.56,4,4,Medium,False,False,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
6820539,Downtown Dubai,25.191719,55.270677,1875000,1543,1215.17,2,3,Low,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6833412,Old Town,25.190044,55.277388,1275000,938,1359.28,1,2,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
